iter	Logloss
0	0.6711168961
1	0.6492503199
2	0.6326161348
3	0.6175196402
4	0.6023082956
5	0.5892447019
6	0.5771808492
7	0.568001247
8	0.5580531981
9	0.5504715014
10	0.5431168068
11	0.5361478685
12	0.5314881333
13	0.5260126747
14	0.5209830648
15	0.5161060773
16	0.512100644
17	0.5084574512
18	0.5055714225
19	0.5027504223
20	0.5000565666
21	0.4971009717
22	0.4944114083
23	0.492663793
24	0.4902168986
25	0.4875567988
26	0.4855330651
27	0.4830561552
28	0.4818799081
29	0.4798699405
30	0.4777013106
31	0.4765869954
32	0.474300051
33	0.4730529194
34	0.4717802179
35	0.4705184618
36	0.4687954353
37	0.4681174031
38	0.4662198021
39	0.4653364441
40	0.4647935584
41	0.463802586
42	0.4630513699
43	0.4616380644
44	0.4605060895
45	0.4598414554
46	0.4587804263
47	0.4580906822
48	0.4573363389
49	0.4564546364
50	0.4555007005
51	0.4547959027
52	0.4543191493
53	0.453802876
54	0.4533328984
55	0.4527817654
56	0.4520482091
57	0.4511639925
58	0.4506522262
59	0.450138375
60	0.4497694813
61	0.4492196973
62	0.4488176302
63	0.4482615917
64	0.4478946296
65	0.4474296801
66	0.4469471628
67	0.4465889386
68	0.4460363339
69	0.4457974667
70	0.4453764521
71	0.4448205669
72	0.4443811873
73	0.4439655994
74	0.4434207823
75	0.4431252872
76	0.442842853
77	0.4426230865
78	0.4420465062
79	0.4417029985
80	0.4413766601
81	0.4406985359
82	0.4402417112
83	0.4398981115
84	0.439637936
85	0.4394327328
86	0.4391349996
87	0.4389752335
88	0.4386147099
89	0.4381963933
90	0.4378624207
91	0.4375677227
92	0.4372688551
93	0.4370175708
94	0.4366293311
95	0.4363168814
96	0.4361716172
97	0.4358389936
98	0.4355022003
99	0.4352138795
100	0.4349925188
101	0.4346995991
102	0.4344379519
103	0.4342015068
104	0.4339534111
105	0.4336691987
106	0.4334469182
107	0.4332539174
108	0.432948182
109	0.432621721
110	0.43230596
111	0.4319932037
112	0.4315571353
113	0.4313756931
114	0.4309252455
115	0.4306451108
116	0.4303882158
117	0.4302856295
118	0.4301037274
119	0.4298587896
120	0.4294470955
121	0.4291755147
122	0.4287582406
123	0.428660989
124	0.4283264338
125	0.4278676776
126	0.4276514369
127	0.4273311077
128	0.4269725156
129	0.4268101129
130	0.4266580117
131	0.4264420471
132	0.426182914
133	0.4260567813
134	0.4258354206
135	0.4254465983
136	0.425196939
137	0.4249578878
138	0.4246689538
139	0.4243348892
140	0.4241919552
141	0.4238733429
142	0.4236213841
143	0.4230827295
144	0.4228287779
145	0.4226908106
146	0.4224939774
147	0.4220335042
148	0.4218547294
149	0.4216461229
150	0.4212442091
151	0.4210816838
152	0.4208469249
153	0.4207000051
154	0.4204660128
155	0.4203226188
156	0.4201520301
157	0.4196891347
158	0.4194416829
159	0.4191670055
160	0.4189719199
161	0.4188057154
162	0.4186115802
163	0.4184754525
164	0.4181378928
165	0.4178351007
166	0.4178162452
167	0.4175389924
168	0.4174080462
169	0.4172579686
170	0.4168794479
171	0.4167267335
172	0.4166075912
173	0.4163383711
174	0.4162097857
175	0.4159157316
176	0.4155686368
177	0.4152863865
178	0.4151636877
179	0.4149143656
180	0.4146324219
181	0.4143584497
182	0.4139825044
183	0.4139619013
184	0.4136102076
185	0.4134013865
186	0.4131288246
187	0.4128504375
188	0.4125205426
189	0.412283239
190	0.4121075607
191	0.411839843
192	0.4116250127
193	0.4113501514
194	0.4111109776
195	0.4108501582
196	0.4106994367
197	0.4105458945
198	0.4103214066
199	0.4099445415
