iter	Passed	Remaining
0	5	1055
1	10	1051
2	15	1036
3	21	1068
4	27	1086
5	33	1093
6	39	1091
7	44	1078
8	50	1067
9	55	1047
10	60	1036
11	65	1026
12	70	1019
13	75	1003
14	80	987
15	84	975
16	89	963
17	94	953
18	99	943
19	103	933
20	109	929
21	114	928
22	119	919
23	123	907
24	128	898
25	132	890
26	138	884
27	142	876
28	147	867
29	151	859
30	156	851
31	160	844
32	164	834
33	168	823
34	172	815
35	177	808
36	181	800
37	185	791
38	190	785
39	194	777
40	198	769
41	202	761
42	206	755
43	211	749
44	215	742
45	219	735
46	223	728
47	228	723
48	232	716
49	236	710
50	241	704
51	244	697
52	248	690
53	252	683
54	257	678
55	261	672
56	265	666
57	270	663
58	275	659
59	280	653
60	284	647
61	289	643
62	292	635
63	296	629
64	300	623
65	304	618
66	308	612
67	312	607
68	316	601
69	322	598
70	326	593
71	331	589
72	336	585
73	341	580
74	345	575
75	349	570
76	354	565
77	358	560
78	362	555
79	366	550
80	371	545
81	375	540
82	379	534
83	382	528
84	387	523
85	391	519
86	395	513
87	400	509
88	404	505
89	408	499
90	412	494
91	416	489
92	421	484
93	425	479
94	428	474
95	432	468
96	436	463
97	441	459
98	445	454
99	449	449
100	453	444
101	457	439
102	462	435
103	466	430
104	470	425
105	474	420
106	478	415
107	482	410
108	485	405
109	489	400
110	493	395
111	497	391
112	501	386
113	505	381
114	509	376
115	513	371
116	517	367
117	522	363
118	526	358
119	530	353
120	534	349
121	538	344
122	543	339
123	547	335
124	551	330
125	555	326
126	558	321
127	562	316
128	566	311
129	570	307
130	574	302
131	578	297
132	582	293
133	587	289
134	591	284
135	595	280
136	600	276
137	604	271
138	608	266
139	612	262
140	616	258
141	620	253
142	624	249
143	628	244
144	633	240
145	637	235
146	640	231
147	645	226
148	649	222
149	653	217
150	657	213
151	661	208
152	665	204
153	669	199
154	672	195
155	676	190
156	680	186
157	684	182
158	688	177
159	691	172
160	696	168
161	699	164
162	703	159
163	707	155
164	711	150
165	715	146
166	718	141
167	722	137
168	726	133
169	730	128
170	735	124
171	738	120
172	743	115
173	747	111
174	751	107
175	754	102
176	758	98
177	763	94
178	767	89
179	770	85
180	774	81
181	778	77
182	782	72
183	784	68
184	788	63
185	793	59
186	797	55
187	801	51
188	804	46
189	808	42
190	812	38
191	816	34
192	820	29
193	824	25
194	828	21
195	831	16
196	835	12
197	839	8
198	843	4
199	847	0
